rep,lambda,e_sampled,e_exact,e_ideal,n_shots,noise_type
8,3.0,0.6279296875,0.6362979405699533,0.7786669865047746,4096,depolarizing
8,5.0,0.54345703125,0.556159919976075,0.7786669865047746,4096,depolarizing
9,1.0,0.736328125,0.7279831836695103,0.7786669865047746,4096,depolarizing
9,3.0,0.638671875,0.6362979405699533,0.7786669865047746,4096,depolarizing
9,5.0,0.55126953125,0.556159919976075,0.7786669865047746,4096,depolarizing
10,1.0,0.732421875,0.7279831836695103,0.7786669865047746,4096,depolarizing
10,3.0,0.642578125,0.6362979405699533,0.7786669865047746,4096,depolarizing
10,5.0,0.556640625,0.556159919976075,0.7786669865047746,4096,depolarizing
11,1.0,0.71630859375,0.7279831836695103,0.7786669865047746,4096,depolarizing
11,3.0,0.6396484375,0.6362979405699533,0.7786669865047746,4096,depolarizing
11,5.0,0.5576171875,0.556159919976075,0.7786669865047746,4096,depolarizing
12,1.0,0.73388671875,0.7279831836695103,0.7786669865047746,4096,depolarizing
12,3.0,0.64794921875,0.6362979405699533,0.7786669865047746,4096,depolarizing
12,5.0,0.5498046875,0.556159919976075,0.7786669865047746,4096,depolarizing
13,1.0,0.732421875,0.7279831836695103,0.7786669865047746,4096,depolarizing
13,3.0,0.6259765625,0.6362979405699533,0.7786669865047746,4096,depolarizing
13,5.0,0.57763671875,0.556159919976075,0.7786669865047746,4096,depolarizing
14,1.0,0.74072265625,0.7279831836695103,0.7786669865047746,4096,depolarizing
14,3.0,0.64697265625,0.6362979405699533,0.7786669865047746,4096,depolarizing
14,5.0,0.546875,0.556159919976075,0.7786669865047746,4096,depolarizing
15,1.0,0.74462890625,0.7279831836695103,0.7786669865047746,4096,depolarizing
15,3.0,0.62548828125,0.6362979405699533,0.7786669865047746,4096,depolarizing
15,5.0,0.56005859375,0.556159919976075,0.7786669865047746,4096,depolarizing
16,1.0,0.7412109375,0.7279831836695103,0.7786669865047746,4096,depolarizing
16,3.0,0.63671875,0.6362979405699533,0.7786669865047746,4096,depolarizing
16,5.0,0.5517578125,0.556159919976075,0.7786669865047746,4096,depolarizing
17,1.0,0.734375,0.7279831836695103,0.7786669865047746,4096,depolarizing
17,3.0,0.64697265625,0.6362979405699533,0.7786669865047746,4096,depolarizing
17,5.0,0.5478515625,0.556159919976075,0.7786669865047746,4096,depolarizing
18,1.0,0.73779296875,0.7279831836695103,0.7786669865047746,4096,depolarizing
18,3.0,0.6533203125,0.6362979405699533,0.7786669865047746,4096,depolarizing
18,5.0,0.5439453125,0.556159919976075,0.7786669865047746,4096,depolarizing
19,1.0,0.71044921875,0.7279831836695103,0.7786669865047746,4096,depolarizing
19,3.0,0.6650390625,0.6362979405699533,0.7786669865047746,4096,depolarizing
19,5.0,0.568359375,0.556159919976075,0.7786669865047746,4096,depolarizing
20,1.0,0.7236328125,0.7279831836695103,0.7786669865047746,4096,depolarizing
20,3.0,0.61328125,0.6362979405699533,0.7786669865047746,4096,depolarizing
20,5.0,0.5458984375,0.556159919976075,0.7786669865047746,4096,depolarizing
21,1.0,0.72900390625,0.7279831836695103,0.7786669865047746,4096,depolarizing
21,3.0,0.62158203125,0.6362979405699533,0.7786669865047746,4096,depolarizing
21,5.0,0.56591796875,0.556159919976075,0.7786669865047746,4096,depolarizing
22,1.0,0.7392578125,0.7279831836695103,0.7786669865047746,4096,depolarizing
22,3.0,0.642578125,0.6362979405699533,0.7786669865047746,4096,depolarizing
22,5.0,0.57666015625,0.556159919976075,0.7786669865047746,4096,depolarizing
23,1.0,0.7216796875,0.7279831836695103,0.7786669865047746,4096,depolarizing
23,3.0,0.62646484375,0.6362979405699533,0.7786669865047746,4096,depolarizing
23,5.0,0.56982421875,0.556159919976075,0.7786669865047746,4096,depolarizing
24,1.0,0.73046875,0.7279831836695103,0.7786669865047746,4096,depolarizing
24,3.0,0.650390625,0.6362979405699533,0.7786669865047746,4096,depolarizing
24,5.0,0.55126953125,0.556159919976075,0.7786669865047746,4096,depolarizing
25,1.0,0.736328125,0.7279831836695103,0.7786669865047746,4096,depolarizing
25,3.0,0.6259765625,0.6362979405699533,0.7786669865047746,4096,depolarizing
25,5.0,0.544921875,0.556159919976075,0.7786669865047746,4096,depolarizing
26,1.0,0.74169921875,0.7279831836695103,0.7786669865047746,4096,depolarizing
26,3.0,0.61328125,0.6362979405699533,0.7786669865047746,4096,depolarizing
26,5.0,0.57373046875,0.556159919976075,0.7786669865047746,4096,depolarizing
27,1.0,0.72705078125,0.7279831836695103,0.7786669865047746,4096,depolarizing
27,3.0,0.63720703125,0.6362979405699533,0.7786669865047746,4096,depolarizing
27,5.0,0.55712890625,0.556159919976075,0.7786669865047746,4096,depolarizing
28,1.0,0.7158203125,0.7279831836695103,0.7786669865047746,4096,depolarizing
28,3.0,0.6416015625,0.6362979405699533,0.7786669865047746,4096,depolarizing
28,5.0,0.5693359375,0.556159919976075,0.7786669865047746,4096,depolarizing
29,1.0,0.7353515625,0.7279831836695103,0.7786669865047746,4096,depolarizing
29,3.0,0.62646484375,0.6362979405699533,0.7786669865047746,4096,depolarizing
29,5.0,0.5703125,0.556159919976075,0.7786669865047746,4096,depolarizing
30,1.0,0.7265625,0.7279831836695103,0.7786669865047746,4096,depolarizing
30,3.0,0.615234375,0.6362979405699533,0.7786669865047746,4096,depolarizing
30,5.0,0.55810546875,0.556159919976075,0.7786669865047746,4096,depolarizing
31,1.0,0.728515625,0.7279831836695103,0.7786669865047746,4096,depolarizing
31,3.0,0.64892578125,0.6362979405699533,0.7786669865047746,4096,depolarizing
31,5.0,0.56982421875,0.556159919976075,0.7786669865047746,4096,depolarizing
32,1.0,0.7109375,0.7279831836695103,0.7786669865047746,4096,depolarizing
32,3.0,0.6416015625,0.6362979405699533,0.7786669865047746,4096,depolarizing
32,5.0,0.5859375,0.556159919976075,0.7786669865047746,4096,depolarizing
33,1.0,0.73046875,0.7279831836695103,0.7786669865047746,4096,depolarizing
33,3.0,0.63818359375,0.6362979405699533,0.7786669865047746,4096,depolarizing
33,5.0,0.5615234375,0.556159919976075,0.7786669865047746,4096,depolarizing
34,1.0,0.72802734375,0.7279831836695103,0.7786669865047746,4096,depolarizing
34,3.0,0.62548828125,0.6362979405699533,0.7786669865047746,4096,depolarizing
34,5.0,0.5537109375,0.556159919976075,0.7786669865047746,4096,depolarizing
35,1.0,0.7265625,0.7279831836695103,0.7786669865047746,4096,depolarizing
35,3.0,0.62646484375,0.6362979405699533,0.7786669865047746,4096,depolarizing
35,5.0,0.5673828125,0.556159919976075,0.7786669865047746,4096,depolarizing
36,1.0,0.72900390625,0.7279831836695103,0.7786669865047746,4096,depolarizing
36,3.0,0.6484375,0.6362979405699533,0.7786669865047746,4096,depolarizing
36,5.0,0.57275390625,0.556159919976075,0.7786669865047746,4096,depolarizing
37,1.0,0.7216796875,0.7279831836695103,0.7786669865047746,4096,depolarizing
37,3.0,0.61669921875,0.6362979405699533,0.7786669865047746,4096,depolarizing
37,5.0,0.5498046875,0.556159919976075,0.7786669865047746,4096,depolarizing
38,1.0,0.72509765625,0.7279831836695103,0.7786669865047746,4096,depolarizing
38,3.0,0.638671875,0.6362979405699533,0.7786669865047746,4096,depolarizing
38,5.0,0.56982421875,0.556159919976075,0.7786669865047746,4096,depolarizing
39,1.0,0.71533203125,0.7279831836695103,0.7786669865047746,4096,depolarizing
39,3.0,0.6376953125,0.6362979405699533,0.7786669865047746,4096,depolarizing
39,5.0,0.5595703125,0.556159919976075,0.7786669865047746,4096,depolarizing
40,1.0,0.72607421875,0.7279831836695103,0.7786669865047746,4096,depolarizing
40,3.0,0.626953125,0.6362979405699533,0.7786669865047746,4096,depolarizing
40,5.0,0.564453125,0.556159919976075,0.7786669865047746,4096,depolarizing
41,1.0,0.7138671875,0.7279831836695103,0.7786669865047746,4096,depolarizing
41,3.0,0.63525390625,0.6362979405699533,0.7786669865047746,4096,depolarizing
41,5.0,0.53466796875,0.556159919976075,0.7786669865047746,4096,depolarizing
42,1.0,0.705078125,0.7279831836695103,0.7786669865047746,4096,depolarizing
42,3.0,0.64697265625,0.6362979405699533,0.7786669865047746,4096,depolarizing
42,5.0,0.56884765625,0.556159919976075,0.7786669865047746,4096,depolarizing
43,1.0,0.72265625,0.7279831836695103,0.7786669865047746,4096,depolarizing
43,3.0,0.63037109375,0.6362979405699533,0.7786669865047746,4096,depolarizing
43,5.0,0.55908203125,0.556159919976075,0.7786669865047746,4096,depolarizing
44,1.0,0.72265625,0.7279831836695103,0.7786669865047746,4096,depolarizing
44,3.0,0.6298828125,0.6362979405699533,0.7786669865047746,4096,depolarizing
44,5.0,0.55712890625,0.556159919976075,0.7786669865047746,4096,depolarizing
45,1.0,0.7236328125,0.7279831836695103,0.7786669865047746,4096,depolarizing
45,3.0,0.64013671875,0.6362979405699533,0.7786669865047746,4096,depolarizing
45,5.0,0.5703125,0.556159919976075,0.7786669865047746,4096,depolarizing
46,1.0,0.7294921875,0.7279831836695103,0.7786669865047746,4096,depolarizing
46,3.0,0.63232421875,0.6362979405699533,0.7786669865047746,4096,depolarizing
46,5.0,0.56298828125,0.556159919976075,0.7786669865047746,4096,depolarizing
47,1.0,0.71484375,0.7279831836695103,0.7786669865047746,4096,depolarizing
47,3.0,0.65673828125,0.6362979405699533,0.7786669865047746,4096,depolarizing
47,5.0,0.55322265625,0.556159919976075,0.7786669865047746,4096,depolarizing
48,1.0,0.7373046875,0.7279831836695103,0.7786669865047746,4096,depolarizing
48,3.0,0.65087890625,0.6362979405699533,0.7786669865047746,4096,depolarizing
48,5.0,0.578125,0.556159919976075,0.7786669865047746,4096,depolarizing
49,1.0,0.74462890625,0.7279831836695103,0.7786669865047746,4096,depolarizing
49,3.0,0.642578125,0.6362979405699533,0.7786669865047746,4096,depolarizing
49,5.0,0.52978515625,0.556159919976075,0.7786669865047746,4096,depolarizing
